Term,Status,Section Name and Title,Location,Meeting Information,Faculty,Availablity/Capacity,Credits,Academic Level
Winter 2023,Open,CIS*2500*0103 (1719) Intermediate Programming,Guelph,LEC Mon; Wed; Fri 03:30PM - 04:20PM; ROZH; Room 103LAB Tues 03:30PM - 05:20PM; REYN; Room 0002,R. Chaturvedi,5  /  5,0.50,Undergraduate
Winter 2023,Open,CIS*2500*0104 (1720) Intermediate Programming,Guelph,LEC Mon; Wed; Fri 03:30PM - 04:20PM; ROZH; Room 103LAB Tues 08:30AM - 10:20AM; REYN; Room 0002,R. Chaturvedi,5  /  5,0.50,Undergraduate
Winter 2023,Open,CIS*2500*0105 (1721) Intermediate Programming,Guelph,LEC Mon; Wed; Fri 03:30PM - 04:20PM; ROZH; Room 103LAB Wed 11:30AM - 01:20PM; REYN; Room 0002,R. Chaturvedi,5  /  5,0.50,Undergraduate
Winter 2023,Open,CIS*2500*0206 (1722) Intermediate Programming,Guelph,LEC Mon; Wed; Fri 01:30PM - 02:20PM; ROZH; Room 103LAB Wed 09:30AM - 11:20AM; REYN; Room 0002,R. Chaturvedi,5  /  5,0.50,Undergraduate
Winter 2023,Open,CIS*2500*0207 (1723) Intermediate Programming,Guelph,LEC Mon; Wed; Fri 01:30PM - 02:20PM; ROZH; Room 103LAB Tues 01:30PM - 03:20PM; REYN; Room 0002,R. Chaturvedi,5  /  5,0.50,Undergraduate
Winter 2023,Open,CIS*2500*0208 (1724) Intermediate Programming,Guelph,LEC Mon; Wed; Fri 01:30PM - 02:20PM; ROZH; Room 103LAB Tues 11:30AM - 01:20PM; REYN; Room 0002,R. Chaturvedi,5  /  5,0.50,Undergraduate
Winter 2023,Open,CIS*2500*0209 (1725) Intermediate Programming,Guelph,LEC Mon; Wed; Fri 01:30PM - 02:20PM; ROZH; Room 103LAB Mon 02:30PM - 04:20PM; REYN; Room 0002,R. Chaturvedi,5  /  5,0.50,Undergraduate
Winter 2023,Open,CIS*2500*0210 (1726) Intermediate Programming,Guelph,LEC Mon; Wed; Fri 01:30PM - 02:20PM; ROZH; Room 103LAB Mon 11:30AM - 01:20PM; REYN; Room 0002,R. Chaturvedi,5  /  5,0.50,Undergraduate
Winter 2023,Open,CIS*2750*0101 (1727) Software System Dvlmt ,Guelph,LEC Tues; Thur 04:00PM - 05:20PM; ROZH; Room 103LAB Wed 09:30AM - 11:20AM; THRN; Room 2418,S. Kremer,3  /  3,0.75,Undergraduate
Winter 2023,Open,CIS*2750*0102 (1728) Software System Dvlmt ,Guelph,LEC Tues; Thur 04:00PM - 05:20PM; ROZH; Room 103LAB Thur 11:30AM - 01:20PM; THRN; Room 2418,S. Kremer,3  /  3,0.75,Undergraduate
Winter 2023,Open,CIS*2750*0103 (1729) Software System Dvlmt ,Guelph,LEC Tues; Thur 04:00PM - 05:20PM; ROZH; Room 103LAB Tues 11:30AM - 01:20PM; THRN; Room 2418,S. Kremer,3  /  3,0.75,Undergraduate
Winter 2023,Open,CIS*2750*0104 (1730) Software System Dvlmt ,Guelph,LEC Tues; Thur 04:00PM - 05:20PM; ROZH; Room 103LAB Mon 09:30AM - 11:20AM; THRN; Room 2418,S. Kremer,3  /  3,0.75,Undergraduate
Winter 2023,Open,CIS*2750*0105 (1731) Software System Dvlmt ,Guelph,LEC Tues; Thur 04:00PM - 05:20PM; ROZH; Room 103LAB Wed 03:30PM - 05:20PM; THRN; Room 2418,S. Kremer,3  /  3,0.75,Undergraduate
Winter 2023,Open,CIS*2750*0106 (1732) Software System Dvlmt ,Guelph,LEC Tues; Thur 04:00PM - 05:20PM; ROZH; Room 103LAB Fri 09:30AM - 11:20AM; THRN; Room 2418,S. Kremer,3  /  3,0.75,Undergraduate
Winter 2023,Open,CIS*2750*0107 (1733) Software System Dvlmt ,Guelph,LEC Tues; Thur 04:00PM - 05:20PM; ROZH; Room 103LAB Wed 01:30PM - 03:20PM; THRN; Room 2418,S. Kremer,3  /  3,0.75,Undergraduate
Winter 2023,Open,CIS*2750*0108 (1734) Software System Dvlmt ,Guelph,LEC Tues; Thur 04:00PM - 05:20PM; ROZH; Room 103LAB Fri 12:30PM - 02:20PM; THRN; Room 2418,S. Kremer,3  /  3,0.75,Undergraduate
Winter 2023,Open,CIS*2750*0201 (1735) Software System Dvlmt ,Guelph,LEC Tues; Thur 10:00AM - 11:20AM; MCLN; Room 102LAB Wed 09:30AM - 11:20AM; THRN; Room 2418,S. Kremer,3  /  3,0.75,Undergraduate
Winter 2023,Open,CIS*2750*0202 (1736) Software System Dvlmt ,Guelph,LEC Tues; Thur 10:00AM - 11:20AM; MCLN; Room 102LAB Thur 11:30AM - 01:20PM; THRN; Room 2418,S. Kremer,3  /  3,0.75,Undergraduate
Winter 2023,Open,CIS*2750*0203 (1737) Software System Dvlmt ,Guelph,LEC Tues; Thur 10:00AM - 11:20AM; MCLN; Room 102LAB Tues 11:30AM - 01:20PM; THRN; Room 2418,S. Kremer,3  /  3,0.75,Undergraduate
Winter 2023,Open,CIS*2750*0204 (1738) Software System Dvlmt ,Guelph,LEC Tues; Thur 10:00AM - 11:20AM; MCLN; Room 102LAB Mon 09:30AM - 11:20AM; THRN; Room 2418,S. Kremer,3  /  3,0.75,Undergraduate
Winter 2023,Open,CIS*2750*0205 (1739) Software System Dvlmt ,Guelph,LEC Tues; Thur 10:00AM - 11:20AM; MCLN; Room 102LAB Wed 03:30PM - 05:20PM; THRN; Room 2418,S. Kremer,3  /  3,0.75,Undergraduate
Winter 2023,Open,CIS*2750*0206 (1740) Software System Dvlmt ,Guelph,LEC Tues; Thur 10:00AM - 11:20AM; MCLN; Room 102LAB Fri 09:30AM - 11:20AM; THRN; Room 2418,S. Kremer,3  /  3,0.75,Undergraduate
Winter 2023,Open,CIS*2750*0207 (1741) Software System Dvlmt ,Guelph,LEC Tues; Thur 10:00AM - 11:20AM; MCLN; Room 102LAB Wed 01:30PM - 03:20PM; THRN; Room 2418,S. Kremer,3  /  3,0.75,Undergraduate
Winter 2023,Open,CIS*2750*0208 (1742) Software System Dvlmt ,Guelph,LEC Tues; Thur 10:00AM - 11:20AM; MCLN; Room 102LAB Fri 12:30PM - 02:20PM; THRN; Room 2418,S. Kremer,3  /  3,0.75,Undergraduate
Winter 2023,Open,CIS*2910*0101 (1743) Discrete Structures in Comp II,Guelph,LEC Mon; Wed; Fri 04:30PM - 05:20PM; ROZH; Room 101LAB Tues 03:30PM - 05:20PM; MACN; Room 118,P. Matsakis,10  /  10,0.50,Undergraduate
Winter 2023,Open,CIS*2910*0102 (1744) Discrete Structures in Comp II,Guelph,LEC Mon; Wed; Fri 04:30PM - 05:20PM; ROZH; Room 101LAB Fri 09:30AM - 11:20AM; MACN; Room 118,P. Matsakis,10  /  10,0.50,Undergraduate
Winter 2023,Open,CIS*2910*0103 (1745) Discrete Structures in Comp II,Guelph,LEC Mon; Wed; Fri 04:30PM - 05:20PM; ROZH; Room 101LAB Thur 02:30PM - 04:20PM; MACN; Room 118,P. Matsakis,10  /  10,0.50,Undergraduate
Winter 2023,Open,CIS*2910*0104 (1746) Discrete Structures in Comp II,Guelph,LEC Mon; Wed; Fri 04:30PM - 05:20PM; ROZH; Room 101LAB Fri 11:30AM - 01:20PM; MACN; Room 118,P. Matsakis,10  /  10,0.50,Undergraduate
Winter 2023,Open,CIS*2910*0105 (1747) Discrete Structures in Comp II,Guelph,LEC Mon; Wed; Fri 04:30PM - 05:20PM; ROZH; Room 101LAB Wed 11:30AM - 01:20PM; ALEX; Room 028,P. Matsakis,10  /  10,0.50,Undergraduate
