Term,Status,Section Name and Title,Location,Meeting Information,Faculty,Availablity/Capacity,Credits,Academic Level
Winter 2023,Open,AGR*1350*0101 (1092) Dairy/Poultry/Egg Prod,Guelph,LEC Mon; Wed; Fri 01:30PM - 02:20PM; MACN; Room 105LAB Mon 08:30AM - 11:20AM; MCKN; Room 308,M. Steele,25  /  25,0.50,Undergraduate
Winter 2023,Open,AGR*1350*0102 (1093) Dairy/Poultry/Egg Prod,Guelph,LEC Mon; Wed; Fri 01:30PM - 02:20PM; MACN; Room 105LAB Tues 08:30AM - 11:20AM; MCKN; Room 313,M. Steele,25  /  25,0.50,Undergraduate
Winter 2023,Open,AGR*1350*0103 (1094) Dairy/Poultry/Egg Prod,Guelph,LEC Mon; Wed; Fri 01:30PM - 02:20PM; MACN; Room 105LAB Wed 08:30AM - 11:20AM; MCKN; Room 307,M. Steele,25  /  25,0.50,Undergraduate
Winter 2023,Open,AGR*1350*0104 (1095) Dairy/Poultry/Egg Prod,Guelph,LEC Mon; Wed; Fri 01:30PM - 02:20PM; MACN; Room 105LAB Tues 02:30PM - 05:20PM; MCKN; Room 309,M. Steele,25  /  25,0.50,Undergraduate
Winter 2023,Open,AGR*1350*0105 (1096) Dairy/Poultry/Egg Prod,Guelph,LEC Mon; Wed; Fri 01:30PM - 02:20PM; MACN; Room 105LAB Wed 02:30PM - 05:20PM; MCKN; Room 313,M. Steele,25  /  25,0.50,Undergraduate
Winter 2023,Open,AGR*1350*0106 (1097) Dairy/Poultry/Egg Prod,Guelph,LEC Mon; Wed; Fri 01:30PM - 02:20PM; MACN; Room 105LAB Fri 08:30AM - 11:20AM; MCKN; Room 316,M. Steele,25  /  25,0.50,Undergraduate
Winter 2023,Open,AGR*1350*0107 (1098) Dairy/Poultry/Egg Prod,Guelph,LEC Mon; Wed; Fri 01:30PM - 02:20PM; MACN; Room 105LAB Thur 08:30AM - 11:20AM; MCKN; Room 316,M. Steele,25  /  25,0.50,Undergraduate
Winter 2023,Open,AGR*1350*0108 (1099) Dairy/Poultry/Egg Prod,Guelph,LEC Mon; Wed; Fri 01:30PM - 02:20PM; MACN; Room 105LAB Thur 02:30PM - 05:20PM; MCKN; Room 304,M. Steele,25  /  25,0.50,Undergraduate
Winter 2023,Open,AGR*1350*0109 (1100) Dairy/Poultry/Egg Prod,Guelph,LEC Mon; Wed; Fri 01:30PM - 02:20PM; MACN; Room 105LAB Fri 02:30PM - 05:20PM; MCKN; Room 307,M. Steele,25  /  25,0.50,Undergraduate
Winter 2023,Open,AGR*1350*0110 (1101) Dairy/Poultry/Egg Prod,Guelph,LEC Mon; Wed; Fri 01:30PM - 02:20PM; MACN; Room 105LAB Mon 02:30PM - 05:20PM; MCKN; Room 314,M. Steele,25  /  25,0.50,Undergraduate
